Gene	Transcripts
RPL9	NM_001024921.2
RPLP0	NM_001002.3
RPLP1	NM_001003.2
RPLP2	NM_001004.3
RPN1	NM_002950.3
RPN2	NM_002951.3
RPP14	NM_007042.4
RPP25	NM_017793.2
RPP30	NM_001104546.1
RPP38	NM_006414.4
RPP40	NM_006638.2
RPRD1A	NM_018170.3
RPRD1B	NM_021215.3
RPRD2	NM_015203.3
RPRM	NM_019845.2
RPRML	NM_203400.4
RPS10-NUDT3	NM_001202470.2
RPS11	NM_001015.4
RPS12	NM_001016.3
RPS13	NM_001017.2
RPS14	NM_001025070.1
RPS15	NM_001018.3
RPS15A	NM_001030009.1
RPS16	NM_001020.4
RPS17L	NM_001199057.1
RPS18	NM_022551.2
RPS19	NM_001022.3
RPS19BP1	NM_194326.2
RPS2	NM_002952.3
RPS20	NM_001146227.1
RPS21	NM_001024.3
RPS23	NM_001025.4
RPS24	NM_001142285.1
RPS25	NM_001028.2
RPS26	NM_001029.3
RPS27	NM_001030.4
RPS27A	NM_001135592.2
RPS27L	NM_015920.3
RPS28	NM_001031.4
RPS29	NM_001030001.2
RPS3	NM_001005.4
RPS3A	NM_001006.4
RPS4X	NM_001007.4
RPS4Y1	NM_001008.3
RPS4Y2	NM_001039567.2
RPS5	NM_001009.3
RPS6	NM_001010.2
RPS6KA1	NM_001006665.1
RPS6KA2	NM_001006932.1
RPS6KA3	NM_004586.2
RPS6KA4	NM_003942.2
RPS6KA5	NM_004755.2
RPS6KA6	NM_014496.4
RPS6KB1	NM_003161.3
RPS6KB2	NM_003952.2
RPS6KC1	NM_012424.3
RPS6KL1	NM_031464.4
RPS7	NM_001011.3
RPS8	NM_001012.1
RPS9	NM_001013.3
RPSA	NM_002295.4
RPTN	NM_001122965.1
RPTOR	NM_020761.2
RPUSD1	NM_058192.2
RPUSD2	NM_152260.1
RPUSD3	NM_173659.3
RPUSD4	NM_032795.2
RQCD1	NM_005444.2
RRAD	NM_004165.2
RRAGA	NM_006570.4
RRAGB	NM_016656.3
RRAGC	NM_022157.3
RRAGD	NM_021244.4
RRAS	NM_006270.3
RRAS2	NM_012250.5
RRBP1	NM_004587.2
RREB1	NM_001003699.3
RRH	NM_006583.2
RRM1	NM_001033.3
RRM2	NM_001034.3
RRM2B	NM_001172477.1
RRN3	NM_018427.3
RRNAD1	NM_015997.3
RRP1	NM_003683.5
RRP12	NM_015179.3
RRP15	NM_016052.3
RRP1B	NM_015056.2
RRP36	NM_033112.2
RRP7A	NM_015703.4
RRP8	NM_015324.3
RRP9	NM_004704.4
RRS1	NM_015169.3
RS1	NM_000330.3
RSAD1	NM_018346.1
RSAD2	NM_080657.4
RSBN1	NM_018364.3
RSBN1L	NM_198467.2
RSC1A1	NM_006511.1
RSF1	NM_016578.3
RSG1	NM_030907.3
RSL1D1	NM_015659.2
RSL24D1	NM_016304.2
RSPH1	NM_080860.2
RSPH10B	NM_173565.3
RSPH3	NM_031924.4
RSPH4A	NM_001010892.2
RSPH6A	NM_030785.3
RSPH9	NM_152732.4
RSPO1	NM_001242908.1
RSPO2	NM_178565.4
RSPO3	NM_032784.4
RSPO4	NM_001029871.3
RSPRY1	NM_133368.1
RSRC1	NM_016625.3
RSRC2	NM_023012.5
RSU1	NM_012425.3
RTBDN	NM_031429.2
RTDR1	NM_014433.2
RTEL1	NM_032957.4
RTF1	NM_015138.4
RTKN	NM_001015055.1
RTKN2	NM_145307.2
RTL1	NM_001134888.2
RTN1	NM_021136.2
RTN2	NM_206900.2
RTN3	NM_201428.2
RTN4	NM_020532.4
RTN4IP1	NM_032730.4
RTN4R	NM_023004.5
RTN4RL1	NM_178568.2
RTN4RL2	NM_178570.2
RTP1	NM_153708.2
RTP2	NM_001004312.2
RTP3	NM_031440.1
RTP4	NM_022147.2
RTTN	NM_173630.3
RUFY1	NM_025158.4
RUFY2	NM_017987.4
RUFY3	NM_001037442.2
RUFY4	NM_198483.3
RUNDC1	NM_173079.2
RUNDC3A	NM_001144825.1
RUNDC3B	NM_138290.2
RUNX1	NM_001754.4
RUNX1T1	NM_001198679.1
RUNX2	NM_001024630.3
RUNX3	NM_004350.2
RUSC1	NM_001105203.1
RUSC1-AS1	NM_001039517
RUSC2	NM_014806.2
RUVBL1	NM_003707.2
RUVBL2	NM_006666.1
RWDD1	NM_015952.2
RWDD2A	NM_033411.3
RWDD2B	NM_016940.2
RWDD3	NM_015485.4
RWDD4	NM_152682.2
RXFP1	NM_021634.3
RXFP2	NM_130806.3
RXFP3	NM_016568.3
RXFP4	NM_181885.2
RXRA	NM_002957.4
RXRB	NM_021976.4
RXRG	NM_006917.4
RYBP	NM_012234.5
RYK	NM_001005861.2
RYR1	NM_000540.2
RYR2	NM_001035.2
RYR3	NM_001036.3
S100A1	NM_006271.1
S100A10	NM_002966.2
S100A11	NM_005620.1
S100A12	NM_005621.1
S100A13	NM_001024211
S100A14	NM_020672.2
S100A16	NM_080388.1
S100A2	NM_005978.3
S100A3	NM_002960.1
S100A4	NM_002961.2
S100A5	NM_002962.1
S100A6	NM_014624.3
S100A7	NM_002963.3
S100A7A	NM_176823.3
S100A7L2	NM_001045479.1
S100A8	NM_002964.4
S100A9	NM_002965.3
S100B	NM_006272.2
S100G	NM_004057.2
S100P	NM_005980.2
S100PBP	NM_022753.3
S100Z	NM_130772.3
S1PR1	NM_001400.4
S1PR2	NM_004230.3
S1PR3	NM_005226.3
S1PR4	NM_003775.3
S1PR5	NM_001166215.1
SAA1	NM_199161.3
SAA2-SAA4	NM_001199744
SAAL1	NM_138421.2
SAC3D1	NM_013299.3
SACM1L	NM_014016.3
SACS	NM_014363.5
SAE1	NM_005500.2
SAFB	NM_001201338.1
SAFB2	NM_014649.2
SAG	NM_000541.4
SAGE1	NM_018666.2
SALL1	NM_002968.2
SALL2	NM_005407.1
SALL3	NM_171999.3
SALL4	NM_020436.3
SAMD1	NM_138352.1
SAMD10	NM_080621.4
SAMD11	NM_152486.2
SAMD12	NM_207506.2
SAMD13	NM_001010971.2
SAMD14	NM_174920.3
SAMD15	NM_001010860.1
SAMD3	NM_001017373.3
SAMD4A	NM_015589.5
SAMD4B	NM_018028.2
SAMD5	NM_001030060.2
SAMD7	NM_182610.2
SAMD8	NM_001174156.1
SAMD9	NM_001193307.1
SAMD9L	NM_152703.2
SAMHD1	NM_015474.3
SAMM50	NM_015380.4
SAMSN1	NM_022136.4
SAP130	NM_001145928.1
SAP18	NM_005870.4
SAP25	NM_001168682.1
SAP30	NM_003864.3
SAP30BP	NM_013260.6
SAP30L	NM_024632.5
SAPCD1	NM_001039651.1
SAR1A	NM_020150.4
SAR1B	NM_016103.3
SARDH	NM_001134707.1
SARM1	NM_015077.3
SARS	NM_006513.3
SARS2	NM_017827.3
SART1	NM_005146.4
SART3	NM_014706.3
SASH1	NM_015278.3
SASH3	NM_018990.3
SASS6	NM_194292.1
SAT1	NM_002970.2
SAT2	NM_133491.3
SATB1	NM_001131010.2
SATB2	NM_001172517.1
SATL1	NM_001012980.2
SAV1	NM_021818.3
SAYSD1	NM_018322.1
SBDS	NM_016038.2
SBF1	NM_002972.2
SBF2	NM_030962.3
SBK1	NM_001024401.2
SBK2	NM_001101401.2
SBNO1	NM_001167856.1
SBNO2	NM_014963.2
SBSN	NM_001166034.1
SC5DL	NM_006918.4
SCAF1	NM_021228.2
SCAF11	NM_004719.2
SCAF4	NM_020706.2
SCAF8	NM_014892.3
SCAI	NM_173690.4
SCAMP1	NM_004866.4
SCAMP2	NM_005697.3
SCAMP3	NM_005698.3
SCAMP4	NM_079834.2
SCAMP5	NM_138967.3
SCAND1	NM_033630.2
SCAND3	NM_052923.1
SCAP	NM_012235.2
SCAPER	NM_020843.2
SCARA3	NM_016240.2
SCARA5	NM_173833.5
SCARB1	NM_005505.4
SCARB2	NM_005506.3
SCARF1	NM_003693.3
SCARF2	NM_182895.2
SCCPDH	NM_016002.2
SCD	NM_005063.4
SCD5	NM_001037582.2
SCEL	NM_144777.2
SCFD1	NM_016106.3
SCFD2	NM_152540.3
SCG2	NM_003469.4
SCG3	NM_013243.3
SCG5	NM_001144757.1
SCGB1A1	NM_003357.4
SCGB1C1	NM_145651.2
SCGB1D1	NM_006552.1
SCGB1D2	NM_006551.3
SCGB1D4	NM_206998.1
SCGB2A1	NM_002407.2
SCGB2A2	NM_002411.2
SCGB2B2	NM_001025591.2
SCGB3A1	NM_052863.2
SCGB3A2	NM_054023.4
SCGN	NM_006998.3
SCIMP	NM_207103.3
SCIN	NM_001112706.2
SCLT1	NM_144643.2
SCLY	NM_016510.5
SCMH1	NM_001172219.1
SCML1	NM_001037540.1
SCML2	NM_006089.2
SCML4	NM_198081.3
SCN10A	NM_006514.2
SCN11A	NM_014139.2
SCN1A	NM_006920.4
SCN1B	NM_199037.3
SCN2A	NM_001040143.1
SCN2B	NM_004588.4
SCN3A	NM_006922.3
SCN3B	NM_018400.3
SCN4A	NM_000334.4
SCN4B	NM_174934.3
SCN5A	NM_001160161.1
SCN7A	NM_002976.3
SCN8A	NM_014191.3
SCN9A	NM_002977.3
SCNM1	NM_024041.3
SCNN1A	NM_001159576.1
SCNN1B	NM_000336.2
SCNN1D	NM_001130413.3
SCNN1G	NM_001039.3
SCO1	NM_004589.2
SCO2	NM_001169111.1
SCOC	NM_001153446.1
SCP2	NM_002979.4
SCPEP1	NM_021626.2
SCRG1	NM_007281.2
SCRIB	NM_182706.4
SCRN1	NM_001145514.1
SCRN2	NM_138355.3
SCRN3	NM_024583.4
SCRT1	NM_031309.5
SCRT2	NM_033129.3
SCT	NM_021920.2
SCTR	NM_002980.2
SCUBE1	NM_173050.3
SCUBE2	NM_020974.2
SCUBE3	NM_152753.2
SCXB	NM_001080514.1
SCYL1	NM_020680.3
SCYL2	NM_017988.4
SCYL3	NM_181093.3
SDAD1	NM_018115.2
SDC1	NM_002997.4
SDC2	NM_002998.3
SDC3	NM_014654.3
SDC4	NM_002999.3
SDCBP	NM_001007067.1
SDCBP2	NM_001199784.1
SDCCAG3	NM_001039707.1
SDCCAG8	NM_006642.3
SDF2	NM_006923.3
SDF2L1	NM_022044.2
SDF4	NM_016176.3
SDHA	NM_004168.2
SDHAF1	NM_001042631.2
SDHAF2	NM_017841.2
SDHB	NM_003000.2
SDHC	NM_003001.3
SDHD	NM_003002.3
SDK1	NM_152744.3
SDK2	NM_001144952.1
SDPR	NM_004657.5
SDR16C5	NM_138969.2
SDR39U1	NM_020195.2
SDR42E1	NM_145168.2
SDR9C7	NM_148897.2
SDS	NM_006843.2
SDSL	NM_138432.2
SEBOX	NM_001080837.2
SEC11A	NM_014300.3
SEC11C	NM_033280.2
SEC13	NM_183352.2
SEC14L1	NM_003003.3
SEC14L2	NM_012429.3
SEC14L3	NM_174975.4
SEC14L4	NM_174977.3
SEC14L5	NM_014692.1
SEC14L6	NM_001193336.2
SEC16A	NM_014866.1
SEC16B	NM_033127.2
SEC22A	NM_012430.4
SEC22B	NM_004892.5
SEC22C	NM_032970.3
SEC23A	NM_006364.2
SEC23B	NM_032986.3
SEC23IP	NM_007190.3
SEC24A	NM_021982.2
SEC24B	NM_006323.2
SEC24C	NM_198597.2
SEC24D	NM_014822.2
SEC31A	NM_014933.3
SEC31B	NM_015490.3
SEC61A1	NM_013336.3
SEC61A2	NM_018144.3
SEC61B	NM_006808.2
SEC61G	NM_014302.3
SEC62	NM_003262.3
SEC63	NM_007214.4
SECISBP2	NM_024077.3
SECISBP2L	NM_001193489.1
SECTM1	NM_003004.2
SEH1L	NM_001013437.1
SEL1L	NM_005065.5
SEL1L3	NM_015187.3
SELE	NM_000450.2
SELENBP1	NM_003944.3
SELK	NM_021237.3
SELL	NM_000655.4
SELM	NM_080430.2
SELO	NM_031454.1
SELP	NM_003005.3
SELPLG	NM_003006.4
SELRC1	NM_023077.2
SELT	NM_016275.3
SELV	NM_182704.1
SEMA3A	NM_006080.2
SEMA3B	NM_004636.2
SEMA3C	NM_006379.3
SEMA3D	NM_152754.2
SEMA3E	NM_012431.2
SEMA3F	NM_004186.3
SEMA3G	NM_020163.1
SEMA4A	NM_001193300.1
SEMA4B	NM_198925.2
SEMA4C	NM_017789.4
SEMA4D	NM_006378.3
SEMA4F	NM_004263.4
SEMA4G	NM_017893.3
SEMA5A	NM_003966.2
SEMA5B	NM_001031702.3
SEMA6A	NM_020796.3
SEMA6B	NM_032108.3
SEMA6C	NM_001178061.1
SEMA6D	NM_153618.1
SEMA7A	NM_003612.3
SEMG2	NM_003008.2
SENP2	NM_021627.2
SENP3	NM_015670.5
SENP5	NM_152699.4
SENP6	NM_015571.2
SENP7	NM_020654.3
SENP8	NM_001172111.1
SEP15	NM_203341.1
SEPHS1	NM_012247.4
SEPHS2	NM_012248.2
SEPN1	NM_206926.1
SEPP1	NM_001085486.1
SEPSECS	NM_016955.3
SEPT1	NM_052838.4
SEPT10	NM_144710.3
SEPT11	NM_018243.2
SEPT12	NM_144605.4
SEPT14	NM_207366.2
SEPT2	NM_006155.1
SEPT3	NM_145733.2
SEPT4	NM_004574.3
SEPT5	NM_002688.5
SEPT6	NM_015129.5
SEPT7	NM_001242956.1
SEPT8	NM_001098811.1
SEPT9	NM_001113491.1
SEPW1	NM_003009.2
SERAC1	NM_032861.3
SERBP1	NM_001018067.1
SERF1B	NM_022978.2
SERF2	NM_001199875.1
SERGEF	NM_012139.2
SERHL2	NM_014509.3
SERINC1	NM_020755.2
SERINC2	NM_178865.4
SERINC3	NM_198941.1
SERINC5	NM_001174072.1
SERP1	NM_014445.3
SERP2	NM_001010897.1
SERPINA1	NM_001127700.1
SERPINA10	NM_016186.2
SERPINA11	NM_001080451.1
SERPINA12	NM_173850.2
SERPINA3	NM_001085.4
SERPINA4	NM_006215.2
SERPINA5	NM_000624.5
SERPINA6	NM_001756.3
SERPINA7	NM_000354.5
SERPINA9	NM_175739.3
SERPINB1	NM_030666.3
SERPINB11	NM_080475.2
SERPINB12	NM_080474.1
SERPINB13	NM_012397.3
SERPINB2	NM_002575.2
SERPINB3	NM_006919.2
SERPINB5	NM_002639.4
SERPINB6	NM_004568.5
SERPINB7	NM_001040147.2
SERPINB8	NM_002640.3
SERPINB9	NM_004155.5
SERPINC1	NM_000488.3
SERPIND1	NM_000185.3
SERPINE1	NM_000602.4
SERPINE2	NM_006216.3
SERPINE3	NM_001101320.1
SERPINF1	NM_002615.5
SERPINF2	NM_000934.3
SERPING1	NM_001032295.1
SERPINH1	NM_001235.3
SERPINI1	NM_001122752.1
SERPINI2	NM_006217.4
SERTAD1	NM_013376.3
SERTAD2	NM_014755.2
SERTAD3	NM_203344.2
SERTAD4	NM_019605.3
SERTM1	NM_203451.2
SESN1	NM_014454.2
SESN2	NM_031459.4
SESN3	NM_144665.3
SESTD1	NM_178123.4
SET	NM_003011.3
SETBP1	NM_015559.2
SETD1A	NM_014712.1
SETD1B	NM_015048.1
SETD2	NM_014159.6
SETD3	NM_032233.2
SETD4	NM_017438.3
SETD5	NM_001080517.1
SETD6	NM_001160305.1
SETD7	NM_030648.2
SETD8	NM_020382.3
SETDB1	NM_001145415.1
SETDB2	NM_001160308.1
SETMAR	NM_006515.3
SETX	NM_015046.5
SEZ6	NM_178860.4
SEZ6L	NM_021115.4
SEZ6L2	NM_001243332.1
SF1	NM_001178030.1
SF3A1	NM_005877.4
SF3A2	NM_007165.4
SF3A3	NM_006802.2
SF3B1	NM_012433.2
SF3B14	NM_016047.3
SF3B2	NM_006842.2
SF3B3	NM_012426.4
SF3B4	NM_005850.4
SF3B5	NM_031287.2
SFI1	NM_001007467.2
SFMBT2	NM_001029880.2
SFN	NM_006142.3
SFPQ	NM_005066.2
SFR1	NM_001002759.1
SFRP1	NM_003012.4
SFRP2	NM_003013.2
SFRP4	NM_003014.3
SFRP5	NM_003015.3
SFSWAP	NM_004592.3
SFT2D1	NM_145169.1
SFT2D2	NM_199344.2
SFT2D3	NM_032740.3
SFTA2	NM_205854.2
SFTA3	NM_001101341.1
SFTPA1	NM_001093770.2
SFTPA2	NM_001098668.2
SFTPB	NM_198843.2
SFTPC	NM_001172357.1
SFTPD	NM_003019.4
SFXN1	NM_022754.5
SFXN2	NM_178858.4
SFXN3	NM_030971.3
SFXN4	NM_213649.1
SFXN5	NM_144579.2
SGCA	NM_000023.2
SGCB	NM_000232.4
SGCD	NM_001128209.1
SGCE	NM_001099400.1
SGCG	NM_000231.2
SGCZ	NM_139167.2
SGIP1	NM_032291.2
SGK1	NM_001143676.1
SGK110	NM_001199824.2
SGK196	NM_032237.4
SGK2	NM_016276.3
SGK223	NM_001080826.1
SGK3	NM_001033578.2
SGMS1	NM_147156.3
SGMS2	NM_001136258.1
SGOL1	NM_001012410.3
SGOL2	NM_152524.5
SGPL1	NM_003901.3
SGPP1	NM_030791.2
SGPP2	NM_152386.2
SGSH	NM_000199.3
SGSM1	NM_001039948.2
SGSM2	NM_014853.2
SGSM3	NM_015705.4
SGTA	NM_003021.3
SGTB	NM_019072.2
SH2B1	NM_001145795.1
SH2B2	NM_020979.3
SH2B3	NM_005475.2
SH2D1A	NM_002351.4
SH2D1B	NM_053282.4
SH2D2A	NM_003975.3
SH2D3A	NM_005490.2
SH2D3C	NM_170600.2
SH2D4A	NM_001174159.1
SH2D4B	NM_207372.2
SH2D5	NM_001103161.1
SH2D6	NM_198482.1
SH2D7	NM_001101404.1
SH3BGR	NM_007341.2
SH3BGRL	NM_003022.2
SH3BGRL2	NM_031469.2
SH3BGRL3	NM_031286.3
SH3BP1	NM_018957.3
SH3BP2	NM_001145856.1
SH3BP4	NM_014521.2
SH3BP5	NM_004844.4
SH3BP5L	NM_030645.1
SH3D19	NM_001009555.3
SH3D21	NM_001162530.1
SH3GL1	NM_003025.3
SH3GL2	NM_003026.2
SH3GL3	NM_003027.3
SH3GLB1	NM_001206651.1
SH3GLB2	NM_020145.2
SH3KBP1	NM_031892.2
SH3PXD2A	NM_014631.2
SH3PXD2B	NM_001017995.2
SH3RF1	NM_020870.3
SH3RF2	NM_152550.3
SH3RF3	NM_001099289.1
SH3TC1	NM_018986.3
SH3TC2	NM_024577.3
SH3YL1	NM_015677.2
SHANK1	NM_016148.2
SHANK2	NM_012309.3
SHARPIN	NM_030974.3
SHB	NM_003028.2
SHBG	NM_001040.3
SHC1	NM_001130040.1
SHC2	NM_012435.2
SHC3	NM_016848.5
SHC4	NM_203349.3
SHCBP1	NM_024745.4
SHCBP1L	NM_030933.2
SHD	NM_020209.3
SHE	NM_001010846.2
SHF	NM_138356.2
SHFM1	NM_006304.1
SHH	NM_000193.2
SHISA2	NM_001007538.1
SHISA3	NM_001080505.1
SHISA4	NM_198149.2
SHISA5	NM_016479.4
SHISA6	NM_207386.3
SHISA7	NM_001145176.1
SHISA8	NM_001207020.1
SHISA9	NM_001145204.2
SHKBP1	NM_138392.3
SHMT1	NM_004169.3
SHMT2	NM_005412.5
SHOC2	NM_007373.3
SHOX	NM_000451.3
SHOX2	NM_006884.3
SHPK	NM_013276.2
SHPRH	NM_001042683.2
SHQ1	NM_018130.2
SHROOM1	NM_133456.2
SHROOM2	NM_001649.2
SHROOM3	NM_020859.3
SHROOM4	NM_020717.3
SI	NM_001041.3
SIAE	NM_170601.4
SIAH1	NM_003031.3
SIAH2	NM_005067.5
SIAH3	NM_198849.2
SIDT1	NM_017699.2
SIDT2	NM_001040455.1
SIGIRR	NM_021805.2
SIGLEC1	NM_023068.3
SIGLEC10	NM_033130.4
SIGLEC11	NM_052884.2
SIGLEC12	NM_053003.2
SIGLEC14	NM_001098612.1
SIGLEC15	NM_213602.2
SIGLEC5	NM_003830.3
SIGLEC6	NM_001245.5
SIGLEC7	NM_014385.3
SIGLEC8	NM_014442.2
SIGLEC9	NM_014441.2
SIGMAR1	NM_005866.2
SIK1	NM_173354.3
SIK2	NM_015191.1
SIK3	NM_025164.3
SIKE1	NM_001102396.1
SIL1	NM_022464.4
SIM1	NM_005068.2
SIM2	NM_005069.3
SIN3A	NM_015477.2
SIN3B	NM_015260.2
SIPA1	NM_006747.3
SIPA1L1	NM_015556.1
SIPA1L2	NM_020808.3
SIPA1L3	NM_015073.1
SIRPA	NM_080792.2
SIRPB1	NM_006065.3
SIRPB2	NM_001122962.1
SIRPD	NM_178460.2
SIRPG	NM_018556.3
SIRT1	NM_012238.4
SIRT2	NM_012237.3
SIRT3	NM_012239.5
SIRT4	NM_012240.2
SIRT5	NM_012241.4
SIRT6	NM_016539.2
SIRT7	NM_016538.2
SIT1	NM_014450.2
SIVA1	NM_006427.3
SIX1	NM_005982.3
SIX2	NM_016932.4
SIX3	NM_005413.3
SIX4	NM_017420.4
SIX5	NM_175875.4
SIX6	NM_007374.2
SKA1	NM_001039535.2
SKA2	NM_182620.3
SKA3	NM_145061.5
SKAP1	NM_003726.3
SKAP2	NM_003930.3
SKI	NM_003036.3
SKIL	NM_001248008.1
SKIV2L	NM_006929.4
SKIV2L2	NM_015360.4
SKP1	NM_170679.2
SKP2	NM_005983.3
SLA	NM_006748.3
SLA2	NM_032214.3
SLAIN1	NM_001242868.1
SLAIN2	NM_020846.1
SLAMF1	NM_003037.2
SLAMF6	NM_052931.4
SLAMF7	NM_021181.3
SLAMF8	NM_020125.2
SLAMF9	NM_033438.3
SLBP	NM_006527.2
SLC10A1	NM_003049.3
SLC10A2	NM_000452.2
SLC10A3	NM_001142392.1
SLC10A4	NM_152679.3
SLC10A5	NM_001010893.2
SLC10A6	NM_197965.2
SLC10A7	NM_001029998.3
SLC11A1	NM_000578.3
SLC11A2	NM_001174125.1
SLC12A1	NM_001184832.1
SLC12A2	NM_001046.2
SLC12A3	NM_000339.2
SLC12A4	NM_001145962.1
SLC12A5	NM_001134771.1
SLC12A6	NM_133647.1
SLC12A7	NM_006598.2
SLC12A8	NM_024628.5
SLC12A9	NM_020246.3
SLC13A1	NM_022444.3
SLC13A2	NM_001145975.1
SLC13A3	NM_022829.5
SLC13A4	NM_012450.2
SLC13A5	NM_177550.3
SLC14A1	NM_001128588.3
SLC14A2	NM_001242692.1
SLC15A1	NM_005073.3
SLC15A2	NM_021082.3
SLC15A3	NM_016582.2
SLC15A4	NM_145648.3
SLC15A5	NM_001170798.1
SLC16A1	NM_003051.3
SLC16A10	NM_018593.4
SLC16A11	NM_153357.1
SLC16A12	NM_213606.3
SLC16A13	NM_201566.2
SLC16A14	NM_152527.4
SLC16A2	NM_006517.4
SLC16A3	NM_001206950.1
SLC16A4	NM_004696.2
SLC16A5	NM_004695.3
SLC16A6	NM_004694.4
SLC16A7	NM_004731.4
SLC16A8	NM_013356.2
SLC16A9	NM_194298.2
SLC17A1	NM_005074.3
SLC17A2	NM_005835.2
SLC17A3	NM_001098486.1
SLC17A4	NM_005495.2
SLC17A5	NM_012434.4
SLC17A6	NM_020346.2
SLC17A7	NM_020309.3
SLC17A8	NM_139319.2
SLC17A9	NM_022082.3
SLC18A1	NM_003053.3
SLC18A2	NM_003054.4
SLC18A3	NM_003055.2
SLC19A1	NM_194255.2
SLC19A2	NM_006996.2
SLC19A3	NM_025243.3
SLC1A1	NM_004170.5
SLC1A2	NM_004171.3
SLC1A3	NM_004172.4
SLC1A4	NM_003038.4
SLC1A5	NM_005628.2
SLC1A6	NM_005071.2
SLC1A7	NM_006671.4
SLC20A1	NM_005415.4
SLC20A2	NM_006749.4
SLC22A1	NM_003057.2
SLC22A10	NM_001039752.3
SLC22A11	NM_018484.2
SLC22A12	NM_144585.3
SLC22A13	NM_004256.3
SLC22A14	NM_004803.3
SLC22A15	NM_018420.2
SLC22A16	NM_033125.3
SLC22A17	NM_020372.2
SLC22A18	NM_183233.2
SLC22A18AS	NM_007105.2
SLC22A2	NM_003058.3
SLC22A20	NM_001004326
SLC22A23	NM_015482.1
SLC22A24	NM_001136506.2
SLC22A25	NM_199352.3
SLC22A3	NM_021977.3
SLC22A31	NM_001242757
SLC22A4	NM_003059.2
SLC22A5	NM_003060.3
SLC22A6	NM_153276.2
SLC22A7	NM_153320.2
SLC22A8	NM_004254.3
SLC22A9	NM_080866.2
SLC23A1	NM_152685.3
SLC23A2	NM_203327.1
SLC23A3	NM_001144889.1
SLC24A1	NM_004727.2
SLC24A2	NM_020344.3
SLC24A3	NM_020689.3
SLC24A4	NM_153646.3
SLC24A5	NM_205850.2
SLC24A6	NM_024959.2
SLC25A1	NM_005984.3
SLC25A10	NM_012140.4
SLC25A11	NM_003562.4
SLC25A12	NM_003705.4
SLC25A13	NM_001160210.1
SLC25A14	NM_003951.2
SLC25A15	NM_014252.3
SLC25A16	NM_152707.3
SLC25A17	NM_006358.2
SLC25A18	NM_031481.1
SLC25A19	NM_001126122.1
SLC25A2	NM_031947.2
SLC25A20	NM_000387.5
SLC25A21	NM_030631.3
SLC25A22	NM_001191061.1
SLC25A23	NM_024103.2
SLC25A24	NM_013386.4
SLC25A25	NM_001006641.3
SLC25A26	NM_173471.3_dupl9
SLC25A27	NM_004277.4
SLC25A28	NM_031212.3
SLC25A29	NM_001039355.1
SLC25A3	NM_005888.3
SLC25A30	NM_001010875.2
SLC25A31	NM_031291.2
SLC25A32	NM_030780.4
SLC25A33	NM_032315.2
SLC25A34	NM_207348.1
SLC25A35	NM_201520.1
SLC25A36	NM_001104647.1
SLC25A37	NM_016612.2
SLC25A38	NM_017875.2
SLC25A39	NM_001143780.1
SLC25A4	NM_001151.3
SLC25A40	NM_018843.3
SLC25A41	NM_173637.3
SLC25A42	NM_178526.4
SLC25A43	NM_145305.2
SLC25A44	NM_014655.2
SLC25A45	NM_182556.2
SLC25A46	NM_138773.1
SLC25A47	NM_207117.2
SLC25A48	NM_145282.4
SLC25A5	NM_001152.4
SLC25A6	NM_001636.3
SLC26A1	NM_022042.3
SLC26A10	NM_133489.2
SLC26A11	NM_001166348.1
SLC26A2	NM_000112.3
SLC26A3	NM_000111.2
SLC26A4	NM_000441.1
SLC26A5	NM_198999.2
SLC26A7	NM_134266.1
SLC26A8	NM_001193476.1
SLC26A9	NM_134325.2
SLC27A1	NM_198580.1
SLC27A2	NM_003645.3
SLC27A3	NM_024330.1
SLC27A4	NM_005094.3
SLC27A5	NM_012254.2
SLC27A6	NM_014031.3
SLC28A1	NM_004213.3
SLC28A2	NM_004212.3
SLC28A3	NM_001199633.1
SLC29A1	NM_001078176.2
SLC29A2	NM_001532.2
SLC29A3	NM_018344.5
SLC29A4	NM_001040661.1
SLC2A1	NM_006516.2
SLC2A10	NM_030777.3
SLC2A11	NM_001024939.2
SLC2A12	NM_145176.2
SLC2A13	NM_052885.3
SLC2A14	NM_153449.2
SLC2A2	NM_000340.1
SLC2A3	NM_006931.2
SLC2A4	NM_001042.2
SLC2A4RG	NM_020062.3
SLC2A5	NM_003039.2
SLC2A6	NM_017585.3
SLC2A7	NM_207420.2
SLC2A8	NM_014580.4
SLC2A9	NM_020041.2
SLC30A1	NM_021194.2
SLC30A10	NM_018713.2
SLC30A2	NM_001004434.1
SLC30A3	NM_003459.4
SLC30A4	NM_013309.4
SLC30A5	NM_022902.4
SLC30A6	NM_001193513.1
SLC30A7	NM_133496.4
SLC30A8	NM_173851.2
SLC30A9	NM_006345.3
SLC31A1	NM_001859.3
SLC31A2	NM_001860.2
SLC32A1	NM_080552.2
SLC33A1	NM_004733.3
SLC34A1	NM_003052.4
SLC34A2	NM_006424.2
SLC34A3	NM_080877.2
SLC35A1	NM_006416.4
SLC35A2	NM_005660.1
SLC35A3	NM_012243.2
SLC35A4	NM_080670.2
SLC35A5	NM_017945.3
SLC35B1	NM_005827.2
SLC35B2	NM_178148.2
SLC35B3	NM_001142541.1
SLC35B4	NM_032826.4
SLC35C1	NM_001145266.1
SLC35C2	NM_015945.11
SLC35D1	NM_015139.2
SLC35D2	NM_007001.2
SLC35D3	NM_001008783.1
SLC35E1	NM_024881.4
SLC35E2	NM_182838.2
