NM_000014.5	A2M
NM_001286820.1	FRG2
NM_001286821.1	LETM2
NM_001286822.1	PTTG1IP
NM_001286823.1	EXD3
NM_001286826.1	ARRDC2
NM_001286827.2	GABRA2
NM_001286828.1	MORN5
NM_001286829.1	NAPRT
NM_001286830.1	RCBTB2
NM_001286831.1	RCBTB2
NM_001286832.1	RCBTB2
NM_001286834.1	RNASEH1
NM_001286835.1	CBWD5
NM_001286836.1	CBWD5
NM_001286837.1	RNASEH1
NM_001286838.1	GRID2
NM_001286839.1	FARP1
NM_001286840.1	PHF19
NM_001286841.1	OSR2
NM_001286842.1	PHF19
NM_001286843.1	PHF19
NM_001286946.1	TXNDC8
NM_001286947.1	TXNDC8
NM_001286950.1	TRMT10B
NM_001286951.1	TRMT10B
NM_001286952.1	TRMT10B
NM_001286953.1	TRMT10B
NM_001286954.1	TRMT10B
NM_001286957.1	CCDC65
NM_001286968.1	JUND
NM_001286969.1	CENPP
NM_001286971.1	CENPP
NM_001286974.1	CTNNAL1
NM_001286984.1	CNTLN
NM_001286985.1	CNTLN
NM_001286990.1	SLC35D2
NM_001286993.1	FGD3
NM_001286997.2	LOC101928436
NM_001286999.1	ST6GALNAC6
NM_001287.5	CLCN7
NM_001287000.1	ST6GALNAC6
NM_001287001.1	ST6GALNAC6
NM_001287002.1	ST6GALNAC6
NM_001287003.1	ST6GALNAC6
NM_001287005.1	SUSD3
NM_001287006.1	SUSD3
NM_001287007.1	SUSD3
NM_001287008.1	SUSD3
NM_001287010.1	GLIPR2
NM_001287011.1	GLIPR2
NM_001287012.1	GLIPR2
NM_001287013.1	GLIPR2
NM_001287014.1	GLIPR2
NM_001287031.1	STOML2
NM_001287032.1	STOML2
NM_001287033.1	STOML2
NM_001287036.1	KIAA1958
NM_001287038.1	KIAA1958
NM_001287044.1	VEGFA
NM_001287045.1	SH3GLB2
NM_001287046.1	SH3GLB2
NM_001287049.1	SAXO1
NM_001287050.1	SAXO1
NM_001287053.1	C5orf67
NM_001287054.2	ZKSCAN1
NM_001287055.2	ZKSCAN1
NM_001287059.1	HECW1
NM_001287060.1	RABGEF1
NM_001287061.1	RABGEF1
NM_001287062.1	RABGEF1
NM_001287135.1	CDK14
NM_001287136.1	CDK14
NM_001287137.1	CDK14
NM_001287140.1	TPD52
NM_001287142.1	TPD52
NM_001287143.1	TPD52
NM_001287144.1	TPD52
NM_001287147.1	MOGAT3
NM_001287150.1	FBXL13
NM_001287174.1	ABCC8
NM_001287181.1	CCDC33
NM_001287182.1	HNF4A
NM_001287183.1	HNF4A
NM_001287184.1	HNF4A
NM_001287188.1	ODC1
NM_001287189.1	ODC1
NM_001287190.1	ODC1
NM_001287191.1	FSD1L
NM_001287192.1	FSD1L
NM_001287212.1	KIF17
NM_001287214.1	AMD1
NM_001287215.1	AMD1
NM_001287216.1	AMD1
NM_001287218.1	RPS6KC1
NM_001287219.1	RPS6KC1
NM_001287220.1	RPS6KC1
NM_001287221.1	RPS6KC1
NM_001287222.1	ARPC3
NM_001287223.1	SCN11A
NM_001287237.1	COMMD5
NM_001287238.1	FAM166B
NM_001287239.1	FAM166B
NM_001287240.1	ITM2C
NM_001287241.1	ITM2C
NM_001287242.1	ARHGAP6
NM_001287243.1	RALYL
NM_001287244.1	RALYL
NM_001287245.1	ZNF621
NM_001287246.1	BLM
NM_001287247.1	BLM
NM_001287248.1	BLM
NM_001287249.1	D2HGDH
NM_001287250.1	NPIPB9
NM_001287251.1	NPIPB9
NM_001287252.1	CCNI2
NM_001287253.1	CCNI2
NM_001287254.1	ZNF596
NM_001287255.1	ZNF596
NM_001287256.1	ZNF596
NM_001287258.1	XKR9
NM_001287259.1	XKR9
NM_001287260.1	XKR9
NM_001287262.1	BTNL10
NM_001287335.1	KIAA1191
NM_001287336.1	KIAA1191
NM_001287337.1	CAB39L
NM_001287338.1	CAB39L
NM_001287339.1	CAB39L
NM_001287340.1	NADK2
NM_001287341.1	NADK2
NM_001287342.1	PHPT1
NM_001287343.1	PHPT1
NM_001287344.1	BTK
NM_001287345.1	BTK
NM_001287346.1	GPR107
NM_001287347.2	TAL1
NM_001287349.1	ZNF852
NM_001287387.1	SLC25A1
NM_001287390.1	KYAT1
NM_001287391.1	C9orf131
NM_001287392.1	COMMD6
NM_001287393.1	COMMD6
NM_001287394.1	COMMD6
NM_001287395.1	MROH2A
NM_001287396.1	C6orf1
NM_001287397.1	C6orf1
NM_001287398.1	C6orf1
NM_001287399.1	ZNF596
NM_001287421.1	ZSCAN26
NM_001287422.1	ZSCAN26
NM_001287424.1	CEBPA
NM_001287426.1	UPP1
NM_001287427.1	CCND3
NM_001287428.1	UPP1
NM_001287429.1	UPP1
NM_001287430.1	UPP1
NM_001287431.1	ARFIP1
NM_001287432.1	ARFIP1
NM_001287433.1	ARFIP1
NM_001287434.1	CCND3
NM_001287435.1	CEBPA
NM_001287436.2	COBL
NM_001287437.1	JADE1
NM_001287438.2	COBL
NM_001287439.1	JADE1
NM_001287440.1	JADE1
NM_001287441.1	JADE1
NM_001287442.1	JADE1
NM_001287443.1	JADE1
NM_001287444.1	DCDC2C
NM_001287445.1	SMIM8
NM_001287482.1	C6orf48
NM_001287483.1	C6orf48
NM_001287484.1	C6orf48
NM_001287485.1	C6orf48
NM_001287486.1	C6orf48
NM_001287487.1	C6orf48
NM_001287488.1	C6orf48
NM_001287489.1	OTOF
NM_001287490.1	AUNIP
NM_001287491.1	TET3
NM_001287492.2	FIGNL1
NM_001287493.2	FIGNL1
NM_001287494.2	FIGNL1
NM_001287495.2	FIGNL1
NM_001287496.2	FIGNL1
NM_001287497.1	TMEM168
NM_001287498.1	SLC37A3
NM_001287499.1	IQCE
NM_001287500.1	IQCE
NM_001287501.1	IQCE
NM_001287502.1	IQCE
NM_001287503.1	SSFA2
NM_001287504.1	SSFA2
NM_001287505.1	SSFA2
NM_001287506.1	PPCS
NM_001287507.1	PPCS
NM_001287508.1	PPCS
NM_001287509.1	PPCS
NM_001287510.1	PPCS
NM_001287511.1	PPCS
NM_001287512.1	TTC26
NM_001287513.1	TTC26
NM_001287516.1	CDC25B
NM_001287517.1	CDC25B
NM_001287518.1	CDC25B
NM_001287519.1	CDC25B
NM_001287520.1	CDC25B
NM_001287522.1	CDC25B
NM_001287524.1	CDC25B
NM_001287525.1	IFT22
NM_001287526.1	IFT22
NM_001287527.1	CLIP4
NM_001287528.1	CLIP4
NM_001287529.1	MFSD12
NM_001287531.1	PQLC2
NM_001287532.1	ZNF92
NM_001287533.1	ZNF92
NM_001287534.1	ZNF92
NM_001287580.1	RBKS
NM_001287582.1	CDC25C
NM_001287583.1	CDC25C
NM_001287584.1	NUP35
NM_001287585.1	NUP35
NM_001287586.1	SLC50A1
NM_001287587.1	SLC50A1
NM_001287588.1	SLC50A1
NM_001287589.1	SLC50A1
NM_001287590.1	SLC50A1
NM_001287591.1	SLC50A1
NM_001287592.1	SLC50A1
NM_001287593.1	CLIC1
NM_001287594.1	CLIC1
NM_001287595.1	SLC1A7
NM_001287596.1	SLC1A7
NM_001287597.1	SLC1A7
NM_001287598.1	THAP5
NM_001287599.1	THAP5
NM_001287600.1	ARHGAP30
NM_001287601.1	THAP5
NM_001287602.1	ARHGAP30
NM_001287603.1	ZBTB17
NM_001287604.1	ZBTB17
NM_001287682.1	LOC388780
NM_001287737.1	SETSIP
NM_001287740.1	STK32A
NM_001287741.1	HMGCLL1
NM_001287742.1	FDFT1
NM_001287743.1	FDFT1
NM_001287744.1	FDFT1
NM_001287745.1	FDFT1
NM_001287746.1	HMGCLL1
NM_001287747.1	FDFT1
NM_001287748.1	FDFT1
NM_001287749.1	FDFT1
NM_001287750.1	FDFT1
NM_001287751.1	FDFT1
NM_001287753.1	HMGCLL1
NM_001287754.1	TRAF3IP3
NM_001287755.1	DCUN1D4
NM_001287756.1	FDFT1
NM_001287757.1	DCUN1D4
NM_001287758.1	COL4A6
NM_001287759.1	COL4A6
NM_001287760.1	COL4A6
NM_001287761.1	SLC28A1
NM_001287762.1	SLC28A1
NM_001287763.1	NSG1
NM_001287764.1	NSG1
NM_001287801.1	TBCE
NM_001287802.1	TBCE
NM_001287803.1	ZDHHC16
NM_001287804.1	ZDHHC16
NM_001287805.1	ARHGAP24
NM_001287808.1	MFSD2A
NM_001287809.1	MFSD2A
NM_001287810.2	CYFIP1
NM_001287811.1	DNAJC16
NM_001287812.1	LOC101928093
NM_001287813.2	SNTG1
NM_001287814.2	SNTG1
NM_001287815.1	UBAP2L
NM_001287816.1	UBAP2L
NM_001287819.1	KCNT2
NM_001287820.1	KCNT2
NM_001287821.1	ZWILCH
NM_001287822.1	ZWILCH
NM_001287823.1	ZWILCH
NM_001287824.1	AFAP1L2
NM_001288.4	CLIC1
NM_001288563.1	WDR63
NM_001288564.1	TMEM9
NM_001288565.1	TMEM9
NM_001288566.1	TMEM9
NM_001288567.1	TMEM9
NM_001288568.1	TMEM9
NM_001288569.1	TMEM9
NM_001288570.1	TMEM9
NM_001288571.1	TMEM9
NM_001288572.1	GBGT1
NM_001288573.1	GBGT1
NM_001288574.1	EYA1
NM_001288575.1	EYA1
NM_001288576.1	FAM184A
NM_001288579.1	BROX
NM_001288580.1	BROX
NM_001288581.1	BROX
NM_001288582.1	TTC14
NM_001288583.1	SMIM1
NM_001288584.1	FAM133B
NM_001288585.1	LACTB
NM_001288587.2	FAM83A
NM_001288588.1	ZNF280D
NM_001288589.1	ZNF280D
NM_001288590.1	ZKSCAN7
NM_001288591.1	ZKSCAN7
NM_001288592.1	ZKSCAN7
NM_001288607.1	ADAMTSL4
NM_001288608.1	ADAMTSL4
NM_001288609.1	HN1
NM_001288610.1	HN1
NM_001288611.1	HN1
NM_001288614.1	CST3
NM_001288615.1	TTC23
NM_001288616.1	TTC23
NM_001288622.1	ICA1L
NM_001288623.1	ICA1L
NM_001288624.1	ICA1L
NM_001288629.1	EPHA7
NM_001288630.1	EPHA7
NM_001288631.1	FAM222B
NM_001288632.1	FAM222B
NM_001288633.1	FAM222B
NM_001288634.1	FAM222B
NM_001288635.1	FAM222B
NM_001288636.1	FAM222B
NM_001288637.1	FAM222B
NM_001288638.1	FAM222B
NM_001288639.1	FAM222B
NM_001288640.1	FAM222B
NM_001288642.1	ZNF286A
NM_001288643.1	ZNF286A
NM_001288644.1	ZNF286A
NM_001288645.1	ZNF286A
NM_001288646.1	ZNF286A
NM_001288647.1	ZNF286A
NM_001288648.1	ZNF286A
NM_001288649.1	ZNF286A
NM_001288653.1	CLTC
NM_001288654.2	DCAKD
NM_001288655.1	DCAKD
NM_001288656.1	UBN1
NM_001288659.1	METTL9
NM_001288660.1	METTL9
NM_001288661.1	CRMP1
NM_001288662.1	CRMP1
NM_001288665.1	HCFC1R1
NM_001288666.1	HCFC1R1
NM_001288667.1	HCFC1R1
NM_001288668.1	HCFC1R1
NM_001288702.1	GGT6
NM_001288703.1	GGT6
NM_001288704.1	GGT6
NM_001288705.2	CSF1R
NM_001288706.1	IL1R1
NM_001288707.1	LOC101929372
NM_001288708.1	DBNDD1
NM_001288709.1	DBNDD1
NM_001288710.1	METTL26
NM_001288711.1	ZSCAN30
NM_001288713.1	NELL1
NM_001288714.1	NELL1
NM_001288715.1	CTNND2
NM_001288716.1	CTNND2
NM_001288717.1	CTNND2
NM_001288718.1	STAT5A
NM_001288719.1	STAT5A
NM_001288720.1	STAT5A
NM_001288721.1	B3GAT3
NM_001288722.1	B3GAT3
NM_001288723.1	B3GAT3
NM_001288724.1	NFKB2
NM_001288725.1	ELP4
NM_001288726.1	ELP4
NM_001288727.1	PPRC1
NM_001288728.1	PPRC1
NM_001288729.1	DAPK1
NM_001288730.1	DAPK1
NM_001288731.1	DAPK1
NM_001288732.1	TEX2
NM_001288733.1	TEX2
NM_001288734.1	ATE1
NM_001288735.1	ATE1
NM_001288736.1	ATE1
NM_001288737.1	DNM1
NM_001288738.1	DNM1
NM_001288739.1	DNM1
NM_001288740.1	C10orf128
NM_001288741.1	C10orf128
NM_001288742.1	C10orf128
NM_001288743.1	C10orf128
NM_001288744.1	CMTM5
NM_001288745.1	CMTM5
NM_001288746.1	CMTM5
NM_001288747.1	DKC1
NM_001288748.1	P4HA3
NM_001288749.1	TMPRSS5
NM_001288750.1	TMPRSS5
NM_001288751.1	TMPRSS5
NM_001288752.1	TMPRSS5
NM_001288753.1	SMC4
NM_001288754.1	RHOT1
NM_001288755.1	RHOT1
NM_001288756.1	BABAM1
NM_001288757.1	BABAM1
NM_001288758.1	RHOT1
NM_001288759.2	ZNF180
NM_001288760.2	ZNF180
NM_001288761.2	ZNF180
NM_001288762.2	ZNF180
NM_001288763.1	LYPD5
NM_001288764.1	DMPK
NM_001288765.1	DMPK
NM_001288766.1	DMPK
NM_001288767.1	ARMC5
NM_001288768.1	PDE1B
NM_001288769.1	PDE1B
NM_001288770.1	C17orf80
NM_001288771.1	C17orf80
NM_001288772.1	PIK3C2G
NM_001288773.2	CEACAM21
NM_001288774.1	PIK3C2G
NM_001288776.1	E4F1
NM_001288777.1	SLC39A7
NM_001288778.1	E4F1
NM_001288779.1	MARCH10
NM_001288780.1	MARCH10
NM_001288781.1	TTC8
NM_001288782.1	TTC8
NM_001288783.1	TTC8
NM_001288786.1	TOM1L2
NM_001288787.1	TOM1L2
NM_001288788.1	TOM1L2
NM_001288789.1	TOM1L2
NM_001288791.1	VSTM1
NM_001288792.1	VSTM1
NM_001288793.1	VSTM1
NM_001288794.1	RMND5B
NM_001288795.1	RMND5B
NM_001288798.1	MCRIP1
NM_001288799.1	MCRIP1
NM_001288800.1	ZNF585A
NM_001288802.1	NFATC4
NM_001288803.1	FPGS
NM_001288804.2	HEPACAM2
NM_001288805.1	ZNF707
NM_001288806.1	ZNF707
NM_001288807.1	ZNF707
NM_001288808.1	ZNF707
NM_001288809.1	ZNF707
NM_001288810.2	HEPACAM2
NM_001288811.1	ARL17A
NM_001288812.1	ARL17A
NM_001288813.1	ARL17A
NM_001288814.1	MROH1
NM_001288819.1	CPEB1
NM_001288820.1	CPEB1
NM_001288821.1	OLFM3
NM_001288823.1	OLFM3
NM_001288824.2	GDF9
NM_001288825.2	GDF9
NM_001288826.2	GDF9
NM_001288827.2	GDF9
NM_001288828.2	GDF9
NM_001288829.1	FCRLB
NM_001288830.1	FCRLB
NM_001288831.1	FCRLB
NM_001288832.1	FCRLB
NM_001288833.1	GGT1
NM_001288834.1	C19orf44
NM_001288836.1	VRK2
NM_001288837.1	VRK2
NM_001288838.1	VRK2
NM_001288839.1	VRK2
NM_001288950.1	ASTE1
NM_001288951.1	TTC7A
NM_001288953.1	TTC7A
NM_001288954.1	IFI27
NM_001288955.1	TTC7A
NM_001288957.1	IFI27
NM_001288958.1	IFI27
NM_001288960.1	IFI27
NM_001288962.1	TRIP10
NM_001288963.1	TRIP10
NM_001288964.1	CEP70
NM_001288965.1	CEP70
NM_001288966.1	CEP70
NM_001288967.1	CEP70
NM_001288968.1	ACSF2
NM_001288969.1	ACSF2
NM_001288970.1	ACSF2
NM_001288971.1	ACSF2
NM_001288972.1	ACSF2
NM_001288973.1	ADAM12
NM_001288974.1	ADAM12
NM_001288975.1	ADAM12
NM_001288976.1	XRCC6
NM_001288977.1	XRCC6
NM_001288978.1	XRCC6
NM_001288979.1	LIPA
NM_001288980.1	C18orf54
NM_001288981.1	C18orf54
NM_001288982.1	C18orf54
NM_001288983.1	SDAD1
NM_001288984.1	SDAD1
NM_001288985.1	ABCA8
NM_001288986.1	ABCA8
NM_001288987.1	OBP2B
NM_001288989.1	PLCE1
NM_001288990.1	TSNAXIP1
NM_001288991.1	TSNAXIP1
NM_001288992.1	TSNAXIP1
NM_001288993.1	TSNAXIP1
NM_001288994.1	TSNAXIP1
NM_001288995.1	IFI27
NM_001288996.1	LIN54
NM_001288997.1	LIN54
NM_001288998.1	GMIP
NM_001288999.1	GMIP
NM_001289.5	CLIC2
NM_001289000.1	TMPRSS6
NM_001289001.1	TMPRSS6
NM_001289002.1	SLCO6A1
NM_001289003.1	PHLPP2
NM_001289004.1	SLCO6A1
NM_001289005.1	LSP1
NM_001289006.1	TM9SF1
NM_001289007.1	TMEM161B
NM_001289008.1	TMEM161B
NM_001289009.1	SLFN12
NM_001289010.1	MAN1C1
NM_001289020.1	KIF6
NM_001289021.1	KIF6
NM_001289022.1	FAM177A1
NM_001289023.2	LAIR1
NM_001289024.1	KIF6
NM_001289025.2	LAIR1
NM_001289026.2	LAIR1
NM_001289027.2	LAIR1
NM_001289029.1	EEF2KMT
NM_001289030.1	GALK2
NM_001289031.1	GALK2
NM_001289032.1	SERPINA4
NM_001289033.1	SERPINA4
NM_001289034.1	KLC4
NM_001289035.1	KLC4
NM_001289036.1	CLUL1
NM_001289037.1	PLAGL1
NM_001289038.1	PLAGL1
NM_001289039.1	PLAGL1
NM_001289040.1	PLAGL1
NM_001289041.1	PLAGL1
NM_001289042.1	PLAGL1
NM_001289043.1	PLAGL1
NM_001289044.1	PLAGL1
NM_001289045.1	PLAGL1
NM_001289046.1	PLAGL1
NM_001289047.1	PLAGL1
NM_001289048.1	PLAGL1
NM_001289049.1	PLAGL1
NM_001289050.1	SLC22A17
NM_001289051.1	PIGG
NM_001289052.1	PIGG
NM_001289053.1	PIGG
NM_001289054.1	AMZ2
NM_001289055.1	PIGG
NM_001289056.1	AMZ2
NM_001289057.1	PIGG
NM_001289058.1	STK33
NM_001289059.1	STK33
NM_001289061.1	STK33
NM_001289063.1	LIG1
NM_001289064.1	LIG1
NM_001289067.1	HELLS
NM_001289068.1	HELLS
NM_001289069.1	HELLS
NM_001289070.1	HELLS
NM_001289071.1	HELLS
NM_001289072.1	HELLS
NM_001289073.1	HELLS
NM_001289074.1	HELLS
NM_001289075.1	HELLS
NM_001289076.1	DCLRE1C
NM_001289077.1	DCLRE1C
NM_001289078.1	DCLRE1C
NM_001289079.1	DCLRE1C
NM_001289080.1	CNTN6
NM_001289081.1	CNTN6
NM_001289082.1	CD300LF
NM_001289083.1	CD300LF
NM_001289084.1	CD300LF
NM_001289085.1	CD300LF
NM_001289086.1	CD300LF
NM_001289087.1	CD300LF
NM_001289088.1	ZMYM1
NM_001289089.1	ZMYM1
NM_001289090.1	ZMYM1
NM_001289091.1	ZMYM1
NM_001289092.1	HARS
NM_001289093.1	HARS
NM_001289094.1	HARS
NM_001289095.1	PXK
NM_001289096.1	PXK
NM_001289097.1	AJUBA
NM_001289098.1	PXK
NM_001289099.1	PXK
NM_001289100.1	PXK
NM_001289101.1	PXK
NM_001289102.1	PRKCSH
NM_001289103.1	PRKCSH
NM_001289104.1	PRKCSH
NM_001289107.1	ST6GALNAC1
NM_001289108.1	FAM96A
NM_001289110.1	RNASE9
NM_001289111.1	RPF2
NM_001289112.1	CPNE4
NM_001289113.1	SHBG
NM_001289114.1	SHBG
NM_001289115.1	SHBG
NM_001289116.1	SHBG
NM_001289117.1	NMRK2
NM_001289119.1	ZCCHC7
NM_001289120.1	ZCCHC7
NM_001289121.1	ZCCHC7
NM_001289122.2	LIMCH1
NM_001289123.1	TUBB4A
NM_001289124.1	LIMCH1
NM_001289125.1	IFNAR2
NM_001289126.1	IFNAR2
NM_001289127.1	TUBB4A
NM_001289128.1	IFNAR2
NM_001289129.1	TUBB4A
NM_001289130.1	TUBB4A
NM_001289131.1	TUBB4A
NM_001289132.1	C15orf57
NM_001289133.1	BTBD7
NM_001289134.1	TC2N
NM_001289135.2	SLIT2
NM_001289136.2	SLIT2
NM_001289139.1	C14orf132
NM_001289145.1	FAM110A
NM_001289146.1	FAM110A
NM_001289147.1	FAM110A
NM_001289148.1	VPS33B
NM_001289149.1	VPS33B
NM_001289152.1	MICA
NM_001289153.1	MICA
NM_001289154.1	MICA
NM_001289155.1	MPI
NM_001289156.1	MPI
NM_001289157.1	MPI
NM_001289158.1	ADGRE3
NM_001289159.1	ADGRE3
NM_001289160.1	MICB
NM_001289161.1	MICB
NM_001289162.1	DRC7
NM_001289163.1	DRC7
NM_001289164.2	LOXL3
NM_001289165.1	LOXL3
NM_001289166.1	ZNF227
NM_001289167.1	ZNF227
NM_001289168.1	ZNF227
NM_001289169.1	ZNF227
NM_001289170.1	ZNF227
NM_001289171.1	ZNF227
NM_001289172.1	ZNF227
NM_001289173.1	ZNF227
NM_001289174.1	VPS52
NM_001289175.1	VPS52
NM_001289176.1	VPS52
NM_001289177.1	ACSBG2
NM_001289178.1	ACSBG2
NM_001289179.1	ACSBG2
NM_001289180.1	ACSBG2
NM_001289181.1	ZNF302
NM_001289182.1	ZNF302
NM_001289183.1	ZNF302
NM_001289184.1	ZNF302
NM_001289185.1	ZNF302
NM_001289186.1	ZNF302
NM_001289187.1	ZNF302
NM_001289188.1	ZNF302
NM_001289189.1	ZNF302
NM_001289190.1	ZNF302
NM_001289191.1	ZNF302
NM_001289192.1	ZNF302
NM_001289394.1	ZFAT
NM_001289395.1	TULP1
NM_001289396.1	SMARCA2
NM_001289397.1	SMARCA2
NM_001289398.1	SMARCA2
NM_001289399.1	SMARCA2
NM_001289400.1	SMARCA2
NM_001289401.1	ZNF135
NM_001289402.1	ZNF135
NM_001289403.1	MMS19
NM_001289404.1	MMS19
NM_001289405.1	MMS19
NM_001289406.1	MFSD1
NM_001289407.1	MFSD1
NM_001289408.1	PMS1
NM_001289409.1	PMS1
NM_001289410.1	FAM104A
NM_001289411.1	FAM104A
NM_001289412.1	FAM104A
NM_001289413.1	EHMT2
NM_001289414.1	ANAPC11
NM_001289415.1	ANAPC11
NM_001289416.1	ANAPC11
NM_001289417.1	ANAPC11
NM_001289418.1	ANAPC11
NM_001289419.1	ANAPC11
NM_001289420.1	ANAPC11
NM_001289608.1	SYTL2
NM_001289609.1	SYTL2
NM_001289610.1	SYTL2
NM_001289698.1	ARHGEF3
NM_001289745.1	GAPDH
NM_001289746.1	GAPDH
NM_001289750.1	DLD
NM_001289751.1	DLD
NM_001289752.1	DLD
NM_001289758.1	IFIT3
NM_001289759.1	IFIT3
NM_001289763.1	DHRS9
NM_001289773.1	MED14OS
NM_001289789.1	GPI
NM_001289790.2	GPI
NM_001289797.1	PCBD1
NM_001289807.1	CRYAB
NM_001289808.1	CRYAB
NM_001289823.1	FURIN
NM_001289824.1	FURIN
NM_001289861.1	PER3
NM_001289862.1	PER3
NM_001289863.1	PER3
NM_001289864.1	PER3
NM_001289905.1	IL17RA
NM_001289908.1	CD36
NM_001289909.1	CD36
NM_001289910.1	IDH2
NM_001289911.1	CD36
NM_001289912.1	LOC400927-CSNK1E
NM_001289922.2	C22orf34
NM_001289930.1	ZNF718
NM_001289931.1	ZNF718
NM_001289933.1	ZASP
NM_001289934.1	LRCH4
NM_001289936.1	ERBB2
NM_001289937.1	ERBB2
NM_001289938.1	ERBB2
NM_001289939.1	SLC1A3
NM_001289940.1	SLC1A3
NM_001289947.1	ERICH2
NM_001289950.2	EEF1D
NM_001289951.1	ZNF761
NM_001289952.1	ZNF761
NM_001289953.1	ZNF761
NM_001289967.1	LOC101927322
NM_001289968.1	PPP3CB
NM_001289969.1	PPP3CB
NM_001289970.1	SMIM23
NM_001289971.1	ZNF84
NM_001289972.1	ZNF84
NM_001289973.1	XKR5
NM_001289974.1	LACTBL1
NM_001289975.1	BAZ2B
NM_001289978.1	DPF1
NM_001289979.1	NUMBL
NM_001289980.2	NUMBL
NM_001289984.1	JADE2
NM_001289985.1	JADE2
NM_001289986.1	TIPIN
NM_001289987.2	FILIP1
NM_001289990.1	ATP6V0E2
NM_001289993.1	ALS2CR12
NM_001289997.1	THPO
NM_001289998.1	THPO
NM_001289999.1	NFIL3
NM_001290.4	LDB2
NM_001290000.1	NFIL3
NM_001290001.1	ZNF385A
NM_001290002.1	ZNF385A
NM_001290003.1	THPO
NM_001290004.1	ZNF385A
NM_001290007.1	BIN2
NM_001290008.1	BIN2
NM_001290009.1	BIN2
NM_001290018.1	PRMT7
NM_001290020.1	ARMC4
NM_001290021.1	ARMC4
NM_001290022.1	THPO
NM_001290023.1	IL12RB1
NM_001290024.1	IL12RB1
NM_001290026.1	THPO
NM_001290027.1	THPO
NM_001290028.1	THPO
NM_001290030.1	ERICH2
NM_001290031.1	ERICH2
NM_001290033.1	COPG2
NM_001290039.1	ROBO2
NM_001290040.1	ROBO2
NM_001290042.1	PSG7
NM_001290043.1	TAP2
NM_001290046.1	CECR2
NM_001290047.1	CECR2
NM_001290048.1	ATL3
NM_001290049.1	USO1
NM_001290050.1	UHRF1
NM_001290051.1	UHRF1
NM_001290052.1	UHRF1
NM_001290053.1	LOC101927844
NM_001290056.2	LOC101927572
NM_001290058.1	ALDH3B1
NM_001290059.1	ALDH3B1
NM_001290060.1	SEMA3B
NM_001290061.1	SEMA3B
NM_001290062.1	SEMA3B
NM_001290063.1	SEMA3B
NM_001290065.1	ROBO2
NM_001290072.1	ENPP5
NM_001290073.1	ENPP5
NM_001290075.1	URGCP
NM_001290076.1	URGCP
NM_001290077.1	TEK
NM_001290078.1	TEK
NM_001290079.1	NKX1-1
NM_001290083.1	ZNF627
NM_001290084.1	ZNF627
NM_001290085.1	ZNF627
NM_001290091.1	UGT2B10
NM_001290094.1	TMPRSS4
NM_001290095.1	TMEM114
NM_001290096.1	TMPRSS4
NM_001290097.1	TMEM114
NM_001290098.1	TMEM114
NM_001290104.1	ZP2
NM_001290113.1	CEACAM21
NM_001290114.1	IDH2
NM_001290117.1	TIMM23B
NM_001290118.1	TIMM23B
NM_001290129.1	POMGNT1
NM_001290130.1	POMGNT1
NM_001290131.1	PHF12
NM_001290135.1	EI24
NM_001290137.1	HAGHL
NM_001290139.1	HAGHL
NM_001290142.1	ADGRG1
NM_001290143.1	ADGRG1
NM_001290144.1	ADGRG1
NM_001290145.1	POLDIP2
NM_001290149.1	C19orf48
NM_001290150.1	C19orf48
NM_001290151.1	C19orf48
NM_001290152.1	C19orf48
NM_001290153.1	C19orf48
NM_001290154.1	C19orf48
NM_001290155.1	C19orf48
NM_001290184.1	NCSTN
NM_001290185.1	VPS11
NM_001290186.1	NCSTN
NM_001290187.1	KRBA1
NM_001290188.1	MYADM
NM_001290189.1	MYADM
NM_001290190.1	MYADM
NM_001290191.1	MYADM
NM_001290192.1	MYADM
NM_001290193.1	MYADM
NM_001290194.1	MYADM
NM_001290202.1	SEZ6
NM_001290204.1	DCP1A
NM_001290205.1	DCP1A
NM_001290206.1	DCP1A
NM_001290207.1	DCP1A
NM_001290208.1	ZNF717
NM_001290209.1	ZNF717
NM_001290210.1	ZNF717
NM_001290211.1	PIK3R6
NM_001290212.1	TSPAN10
NM_001290214.2	CTBP2
NM_001290215.2	CTBP2
NM_001290216.2	RARB
NM_001290217.1	RARB
NM_001290221.1	NQO2
NM_001290222.1	NQO2
NM_001290223.1	DOCK1
NM_001290224.1	TPTE
NM_001290225.1	PTDSS1
NM_001290226.1	MAST4
NM_001290227.1	MAST4
NM_001290228.1	MAST4
NM_001290229.1	SCAMP1
NM_001290230.1	CDK2
NM_001290232.1	C15orf41
NM_001290233.1	C15orf41
NM_001290252.1	DPP6
NM_001290253.1	DPP6
NM_001290254.1	FAM71F2
NM_001290255.1	FAM71F2
NM_001290256.1	KHNYN
NM_001290257.1	KHNYN
NM_001290258.1	ASB15
NM_001290259.1	PHF3
NM_001290260.1	PHF3
NM_001290261.1	ZNF337
NM_001290263.1	DOCK10
NM_001290264.1	SLC35E2B
NM_001290265.1	CERS1
NM_001290266.1	RARB
NM_001290268.1	FAM65C
NM_001290270.1	LILRA2
NM_001290271.1	LILRA2
NM_001290276.1	RARB
NM_001290277.1	RARB
NM_001290285.1	ERCC8
NM_001290292.1	SDR39U1
NM_001290293.2	SDR39U1
NM_001290294.1	SORBS1
NM_001290295.1	SORBS1
NM_001290296.1	SORBS1
NM_001290297.1	SORBS1
NM_001290298.1	SORBS1
